Report generated on: 09-05-2022 12:09:13
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"INTL.66-13-AUT-TBPD.A","            Residual fuel oil (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"","Azerbaijan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Bunker","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.54-13-AZE-TBPD.A","        Refined petroleum products (Mb/d)","","","","","--","--","--","--","--","--","--","--","0","0","0","0","11","13","11","11","11","11","12","13","14","11","11","8.3","9.3","6.6","10","11","9.8","9.9","9.0513698630137",""
"INTL.65-13-AZE-TBPD.A","            Distillate fuel oil (Mb/d)","","","","","","","--","--","--","--","--","--","0","0","0","0","11","13","11","11","11","11","12","13","14","11","11","0","0","NA","NA","NA","NA","NA","NA",""
"INTL.66-13-AZE-TBPD.A","            Residual fuel oil (Mb/d)","","","","","","","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"","Bahrain","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Bunker","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.54-13-BHR-TBPD.A","        Refined petroleum products (Mb/d)","","","","","NA","NA","11","11","12","13","13","13","4.2","4.5","4.5","4.4","2.4","2.1","2.1","2.1","2.1","2.1","2.1","11","13","9.1","12","13","13","14","15","14","14","10","9.90419178082192",""
"INTL.65-13-BHR-TBPD.A","            Distillate fuel oil (Mb/d)","","","","","","","11","11","10","11","11","11","2.2","2.6","2.6","2.6","1.6","0.8","0.8","0.8","0.8","0.8","0.8","9.8","12","7.9","12","0","0","NA","NA","NA","NA","NA","NA",""
"INTL.66-13-BHR-TBPD.A","            Residual fuel oil (Mb/d)","","","","","","","0","0","1.8","1.8","2","2","2","1.8","1.8","1.8","0.8","1.3","1.3","1.3","1.3","1.3","1.3","1.3","1.3","1.1","0","0","0","1.2","1.4","1.4","1.5","1.5","1.49621917808219",""
"","Bangladesh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Bunker","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.54-13-BGD-TBPD.A","        Refined petroleum products (Mb/d)","","","","","NA","NA","0.1","0.3","0.3","0.3","0.2","0.1","0","0.2","0.2","0.2","0.3","0.3","0.8","0.8","0.7","0.7","0.7","0.7","0.7","0.7","3.3","5.8","5.1","4.6","7.7","8.9","8.5","8.7","8.84216438356165",""
"INTL.65-13-BGD-TBPD.A","            Distillate fuel oil (Mb/d)","","","","","","","0","0.2","0.2","0.2","0.2","0.1","0","0.2","0.2","0.2","0.3","0.2","0.1","0.1","0","0","0","0","0","0","2.7","0","0","NA","NA","NA","NA","NA","NA",""
"INTL.66-13-BGD-TBPD.A","            Residual fuel oil (Mb/d)","","","","","","","0.1","0.09123","0.09098","0.09123","0","0","0","0","0","0","0","0.1","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","1.5","1.6","1.7","1.8","1.82465753424658",""
"","Barbados","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Bunker","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.54-13-BRB-TBPD.A","        Refined petroleum products (Mb/d)","","","","","NA","NA","3.5","2.9","2.5","2.4","2.6","2.6","0","1.8","2.4","2.6","2.8","2.8","2.8","2.8","4.3","3.3","3.3","3.3","3.3","1.9","1.7","0","0","1.7","1.7","1.7","1.7","4.5","4.45687671232877",""
"INTL.65-13-BRB-TBPD.A","            Distillate fuel oil (Mb/d)","","","","","","","2.7","2.3","2.4","2.4","2.5","2.5","0","1.8","2.4","2.6","2.8","2.8","2.8","2.8","4.3","3.3","3.3","3.3","3.3","1.9","1.7","0","0","NA","NA","NA","NA","NA","NA",""
"INTL.66-13-BRB-TBPD.A","            Residual fuel oil (Mb/d)","","","","","","","0.7","0.6","0.09098","0.09","0.1","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"","Belarus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Bunker","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.54-13-BLR-TBPD.A","        Refined petroleum products (Mb/d)","","","","","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.2","2.38986301369863",""
"INTL.65-13-BLR-TBPD.A","            Distillate fuel oil (Mb/d)","","","","","","","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA",""
