,regions,product,year,value
160,Djibouti,            Distillate fuel oil (Mb/d),1980,
161,Djibouti,            Residual fuel oil (Mb/d),1980,
162,Dominica,        Refined petroleum products (Mb/d),1980,
163,Dominica,            Distillate fuel oil (Mb/d),1980,
164,Dominica,            Residual fuel oil (Mb/d),1980,
165,Dominican Republic,        Refined petroleum products (Mb/d),1980,
166,Dominican Republic,            Distillate fuel oil (Mb/d),1980,
167,Dominican Republic,            Residual fuel oil (Mb/d),1980,
168,Ecuador,        Refined petroleum products (Mb/d),1980,
169,Ecuador,            Distillate fuel oil (Mb/d),1980,
170,Ecuador,            Residual fuel oil (Mb/d),1980,
171,Egypt,        Refined petroleum products (Mb/d),1980,
172,Egypt,            Distillate fuel oil (Mb/d),1980,
173,Egypt,            Residual fuel oil (Mb/d),1980,
174,El Salvador,        Refined petroleum products (Mb/d),1980,
175,El Salvador,            Distillate fuel oil (Mb/d),1980,
176,El Salvador,            Residual fuel oil (Mb/d),1980,
177,Equatorial Guinea,        Refined petroleum products (Mb/d),1980,
178,Equatorial Guinea,            Distillate fuel oil (Mb/d),1980,
179,Equatorial Guinea,            Residual fuel oil (Mb/d),1980,
180,Eritrea,        Refined petroleum products (Mb/d),1980,
181,Eritrea,            Distillate fuel oil (Mb/d),1980,
182,Eritrea,            Residual fuel oil (Mb/d),1980,
183,Estonia,        Refined petroleum products (Mb/d),1980,
184,Estonia,            Distillate fuel oil (Mb/d),1980,
185,Estonia,            Residual fuel oil (Mb/d),1980,
186,Eswatini,        Refined petroleum products (Mb/d),1980,
187,Eswatini,            Distillate fuel oil (Mb/d),1980,
188,Eswatini,            Residual fuel oil (Mb/d),1980,
189,Ethiopia,        Refined petroleum products (Mb/d),1980,
190,Ethiopia,            Distillate fuel oil (Mb/d),1980,
191,Ethiopia,            Residual fuel oil (Mb/d),1980,
192,Falkland Islands,        Refined petroleum products (Mb/d),1980,
193,Falkland Islands,            Distillate fuel oil (Mb/d),1980,
194,Falkland Islands,            Residual fuel oil (Mb/d),1980,
195,Faroe Islands,        Refined petroleum products (Mb/d),1980,
196,Faroe Islands,            Distillate fuel oil (Mb/d),1980,
197,Faroe Islands,            Residual fuel oil (Mb/d),1980,
198,Fiji,        Refined petroleum products (Mb/d),1980,
199,Fiji,            Distillate fuel oil (Mb/d),1980,
200,Fiji,            Residual fuel oil (Mb/d),1980,
201,Finland,        Refined petroleum products (Mb/d),1980,16
202,Finland,            Distillate fuel oil (Mb/d),1980,
203,Finland,            Residual fuel oil (Mb/d),1980,8
204,Former Czechoslovakia,        Refined petroleum products (Mb/d),1980,0
205,Former Czechoslovakia,            Distillate fuel oil (Mb/d),1980,
206,Former Czechoslovakia,            Residual fuel oil (Mb/d),1980,0
207,Former Serbia and Montenegro,        Refined petroleum products (Mb/d),1980,
208,Former Serbia and Montenegro,            Distillate fuel oil (Mb/d),1980,
209,Former Serbia and Montenegro,            Residual fuel oil (Mb/d),1980,
210,Former U.S.S.R.,        Refined petroleum products (Mb/d),1980,
211,Former U.S.S.R.,            Distillate fuel oil (Mb/d),1980,
212,Former U.S.S.R.,            Residual fuel oil (Mb/d),1980,
213,Former Yugoslavia,        Refined petroleum products (Mb/d),1980,
214,Former Yugoslavia,            Distillate fuel oil (Mb/d),1980,
215,Former Yugoslavia,            Residual fuel oil (Mb/d),1980,
216,France,        Refined petroleum products (Mb/d),1980,61
217,France,            Distillate fuel oil (Mb/d),1980,
218,France,            Residual fuel oil (Mb/d),1980,37
219,French Guiana,        Refined petroleum products (Mb/d),1980,
220,French Guiana,            Distillate fuel oil (Mb/d),1980,
221,French Guiana,            Residual fuel oil (Mb/d),1980,
222,French Polynesia,        Refined petroleum products (Mb/d),1980,
223,French Polynesia,            Distillate fuel oil (Mb/d),1980,
224,French Polynesia,            Residual fuel oil (Mb/d),1980,
225,Gabon,        Refined petroleum products (Mb/d),1980,
226,Gabon,            Distillate fuel oil (Mb/d),1980,
227,Gabon,            Residual fuel oil (Mb/d),1980,
228,"Gambia, The",        Refined petroleum products (Mb/d),1980,
229,"Gambia, The",            Distillate fuel oil (Mb/d),1980,
230,"Gambia, The",            Residual fuel oil (Mb/d),1980,
231,Georgia,        Refined petroleum products (Mb/d),1980,
232,Georgia,            Distillate fuel oil (Mb/d),1980,
233,Georgia,            Residual fuel oil (Mb/d),1980,
234,Germany,        Refined petroleum products (Mb/d),1980,
235,Germany,            Distillate fuel oil (Mb/d),1980,
236,Germany,            Residual fuel oil (Mb/d),1980,
237,"Germany, East",        Refined petroleum products (Mb/d),1980,0
238,"Germany, East",            Distillate fuel oil (Mb/d),1980,
239,"Germany, East",            Residual fuel oil (Mb/d),1980,0
240,"Germany, West",        Refined petroleum products (Mb/d),1980,80
241,"Germany, West",            Distillate fuel oil (Mb/d),1980,
