API,Unnamed: 1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Armenia,            Residual fuel oil (Mb/d),,,,,,,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,        Refined petroleum products (Mb/d),,,,,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,1.6,1.6,1.7,1.7,1.7,1.8,1.7,1.7,2,1.98224657534246,
Aruba,            Distillate fuel oil (Mb/d),,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,1.6,1.6,0,0,,,,,,,
Aruba,            Residual fuel oil (Mb/d),,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.200712328767123,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,        Refined petroleum products (Mb/d),41,40,17,14,14,11,8.7,11,11,13,11,11,11,11,14,16,16,14,13,16,14,14,12,12,14,16,15,16,17,14,12,14,14,14,13.5529315068493,
Australia,            Distillate fuel oil (Mb/d),,,,,2,2,1.6,3,2.2,2.6,2.6,1.9,2,2,2.3,2.9,2.6,2.7,1.8,2.3,2.1,1.5,1.3,1.2,0.9,1.2,1.2,1.5,1.3,,,,,,,
Australia,            Residual fuel oil (Mb/d),30,30,14,12,12,9.1,7,7.7,8.6,11,8.8,8.7,8.7,9.3,12,14,13,11,12,14,12,12,11,11,13,15,14,15,16,12,11,13,13,13,12.5718904109589,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,        Refined petroleum products (Mb/d),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Austria,            Distillate fuel oil (Mb/d),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Austria,            Residual fuel oil (Mb/d),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
